status	url	deploymentPath
OK	https://shadowgarden-bon.pages.dev/assets/js/reader-motion.js	/assets/js/reader-motion.js
OK	https://shadowgarden-bon.pages.dev/assets/js/reader-paginated-visual-fit.js	/assets/js/reader-paginated-visual-fit.js
OK	https://shadowgarden-bon.pages.dev/assets/js/reader-visual-cache.js	/assets/js/reader-visual-cache.js
OK	https://shadowgarden-bon.pages.dev/assets/js/series-motion.js	/assets/js/series-motion.js
OK	https://shadowgarden-bon.pages.dev/assets/js/series-renderers.js	/assets/js/series-renderers.js
OK	https://shadowgarden-bon.pages.dev/assets/js/series.js	/assets/js/series.js
OK	https://shadowgarden-bon.pages.dev/assets/js/site-a11y.js	/assets/js/site-a11y.js
OK	https://shadowgarden-bon.pages.dev/assets/js/site-flavor.js	/assets/js/site-flavor.js
OK	https://shadowgarden-bon.pages.dev/assets/js/ui-direction-triangles.js	/assets/js/ui-direction-triangles.js
OK	https://shadowgarden-bon.pages.dev/assets/vendor/epub.min.js	/assets/vendor/epub.min.js
OK	https://shadowgarden-bon.pages.dev/assets/vendor/jszip.min.js	/assets/vendor/jszip.min.js
OK	https://shadowgarden-bon.pages.dev/assets/css/site.css?v=2.11.0	/assets/css/site.css
OK	https://shadowgarden-bon.pages.dev/assets/css/nav.css?v=2.11.0	/assets/css/nav.css
OK	https://shadowgarden-bon.pages.dev/assets/css/motion.css?v=2.11.0	/assets/css/motion.css
OK	https://shadowgarden-bon.pages.dev/assets/css/library-motion.css?v=2.11.0	/assets/css/library-motion.css
OK	https://shadowgarden-bon.pages.dev/assets/css/library-features.css?v=2.11.0	/assets/css/library-features.css
OK	https://shadowgarden-bon.pages.dev/assets/css/public-components.css?v=2.11.0	/assets/css/public-components.css
OK	https://shadowgarden-bon.pages.dev/assets/css/public-artwork.css?v=2.11.0	/assets/css/public-artwork.css
OK	https://shadowgarden-bon.pages.dev/assets/css/library-layout.css?v=2.11.0	/assets/css/library-layout.css
OK	https://shadowgarden-bon.pages.dev/assets/css/reading-status.css?v=2.11.0	/assets/css/reading-status.css
OK	https://shadowgarden-bon.pages.dev/assets/css/volume-actions.css?v=2.11.0	/assets/css/volume-actions.css
OK	https://shadowgarden-bon.pages.dev/assets/css/ui-symbols.css?v=2.11.0	/assets/css/ui-symbols.css
OK	https://shadowgarden-bon.pages.dev/assets/js/motion.js?v=2.11.0	/assets/js/motion.js
OK	https://shadowgarden-bon.pages.dev/assets/js/library-motion.js?v=2.11.0	/assets/js/library-motion.js
OK	https://shadowgarden-bon.pages.dev/assets/js/nav.js?v=2.11.0	/assets/js/nav.js
OK	https://shadowgarden-bon.pages.dev/assets/js/data-source.js?v=2.11.0	/assets/js/data-source.js
OK	https://shadowgarden-bon.pages.dev/assets/js/library.js?v=2.11.0	/assets/js/library.js
OK	https://shadowgarden-bon.pages.dev/assets/js/nav-pinned.js?v=2.11.0	/assets/js/nav-pinned.js
OK	https://shadowgarden-bon.pages.dev/assets/js/library-mobile-filter.js?v=2.11.0	/assets/js/library-mobile-filter.js
OK	https://shadowgarden-bon.pages.dev/assets/js/library-footer-version.js?v=2.11.0	/assets/js/library-footer-version.js
OK	https://shadowgarden-bon.pages.dev/assets/js/site-a11y.js?v=2.11.0	/assets/js/site-a11y.js
OK	https://shadowgarden-bon.pages.dev/assets/js/ui-direction-triangles.js?v=2.11.0	/assets/js/ui-direction-triangles.js
